,,,,No. Applicants*,of,No. Matches*,of,% Filled,,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total
PGY- - 2 Positions,,,,,,,,,,,
Anesthesiology,77,481,16,952,"1,540",290,441,60.3,91.7,"5,439","7,788"
Child Neurology,16,18,2,63,104,8,16,44.4,88.9,120,173
Dermatology,113,399,9,474,619,341,389,85.5,97.5,"3,528","3,963"
Interventional Radiology (Integrated),5,11,0,105,135,11,11,100.0,100.0,142,175
Neurodevelopmental Disabilities,4,5,4,5,7,0,0,0.0,0.0,8,10
Neurology,63,304,6,436,877,201,298,66.1,98.0,"2,442","3,568"
Nuclear Medicine,3,3,2,0,5,0,1,0.0,33.3,0,7
Physical Medicine & Rehab,62,290,5,254,577,153,283,52.8,97.6,"2,331","3,963"
Preventive Medicine,1,2,0,0,6,0,2,0.0,100.0,0,6
Psychiatry,1,1,0,4,5,1,1,100.0,100.0,4,5
Radiation Oncology,77,168,1,191,223,155,167,92.3,99.4,"1,889","2,085"
Radiology-Diagnostic,164,982,24,805,"1,360",661,947,67.3,96.4,"9,186","12,499"
Radiology-Nuclear Med,3,3,0,16,28,2,3,66.7,100.0,18,33
Total PGY-2,589,"2,667",69,"3,305","5,486","1,823","2,559",68.4,96.0,"25,107","34,275"
