,,,,No. Applicants*,of,No. Matches*,of,% Filled,,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total
PGY- 2 Positions,,,,,,,,,,,
Anesthesiology,78,506,14,"1,017","1,581",315,469,62.3,92.7,"5,928","7,976"
Child Neurology,20,24,7,44,100,7,17,29.2,70.8,90,189
Dermatology,116,385,4,485,644,336,381,87.3,99.0,"3,568","4,073"
Neurodevelopmental Disabilities,3,5,2,6,9,1,2,20.0,40.0,11,16
Neurology,66,313,6,397,813,190,304,60.7,97.1,"2,292","3,359"
Nuclear Medicine,3,3,2,0,6,0,1,0.0,33.3,0,6
Physical Medicine & Rehab,61,282,3,228,576,127,279,45.0,98.9,"1,827","3,801"
Preventive Medicine,1,2,0,0,7,0,2,0.0,100.0,0,7
Psychiatry,1,1,1,3,5,0,0,0.0,0.0,3,5
Psychiatry-Neurology,1,1,0,4,5,1,1,100.0,100.0,4,5
Radiation Oncology,81,176,5,197,232,165,170,93.8,96.6,"1,984","2,121"
Radiology-Diagnostic,166,999,55,680,"1,141",579,862,58.0,86.3,"8,392","11,524"
Radiology-Nuclear Med,1,1,1,2,5,0,0,0.0,0.0,2,5
Total PGY-2,598,"2,698",100,"3,063","5,124","1,721","2,488",63.8,92.2,"24,101","33,087"
