,,,,No. Applicants*,of,No. Matches**,of,% Filled,,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total
PGY- 2 Positions,,,,,,,,,,,
Anesthesiology,86,580,9,"1,067","1,628",398,562,68.6,96.9,"6,644","8,696"
Child Neurology,27,37,8,65,122,14,26,37.8,70.3,205,313
Dermatology,109,369,6,442,574,316,362,85.6,98.1,"3,288","3,697"
Neurodevelopmental Disabilities,5,7,2,7,14,4,5,57.1,71.4,19,27
Neurology,73,331,7,365,817,189,320,57.1,96.7,"2,261","3,602"
Nuclear Medicine,4,5,2,0,9,0,3,0.0,60.0,0,16
Physical Medicine & Rehab,61,294,1,242,593,152,293,51.7,99.7,"1,876","3,636"
Plastic Surgery,7,11,0,105,108,10,11,90.9,100.0,163,166
Preventive Medicine,2,3,2,0,7,0,1,0.0,33.3,0,7
Psychiatry,2,2,0,2,12,1,2,50.0,100.0,2,12
Psychiatry-Neurology,1,1,0,2,3,0,1,0.0,100.0,2,3
Radiation Oncology,80,160,7,170,211,134,153,83.8,95.6,"1,667","1,822"
Radiology-Diagnostic,158,979,30,865,"1,307",724,928,74.0,94.8,"10,094","12,038"
Total PGY- - 2,615,"2,779",74,"3,332","5,405","1,942","2,667",69.9,96.0,"26,221","34,035"
