,,,,No. Applicants*,of,No.,of Matches*,,% Filled,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total
PGY-2 Positions,,,,,,,,,,,
Anesthesiology,75,447,4,919,"1,601",246,442,55.0,98.9,"5,143","7,781"
Child Neurology,7,8,1,58,87,3,7,37.5,87.5,82,118
Dermatology,122,426,4,463,651,348,420,81.7,98.6,"3,643","4,334"
Interventional Radiology (Integrated),51,98,0,279,352,93,98,94.9,100.0,"1,598","1,760"
Neurodevelopmental Disabilities,3,4,2,6,11,2,2,50.0,50.0,10,16
Neurology,55,287,2,430,928,190,283,66.2,98.6,"2,310","3,486"
Nuclear Medicine,2,3,0,0,8,0,3,0.0,100.0,0,11
Physical Medicine & Rehab,61,281,0,278,614,166,281,59.1,100.0,"2,320","3,945"
Radiation Oncology,85,177,5,194,222,162,172,91.5,97.2,"2,102","2,204"
Radiology-Diagnostic,171,944,4,"1,000","1,603",683,939,72.4,99.5,"10,842","14,373"
Radiology-Nuclear Med,3,3,0,12,19,1,3,33.3,100.0,13,23
Total PGY-2,635,"2,678",22,"3,639","6,096","1,894","2,650",70.7,99.0,"28,063","38,051"
