,,,,No. Applicants*,of,No.,of Matches*,% Filled,,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total
PGY- 1 Positions,,,,,,,,,,,
Anesthesiology,124,"1,202",18,"1,075","1,843",803,"1,146",66.8,95.3,"10,531","14,303"
Child Neurology,69,128,8,118,205,97,119,75.8,93.0,"1,180","1,458"
Dermatology,11,26,0,216,239,24,26,92.3,100.0,321,344
Emergency Medicine,191,"2,047",4,"1,845","2,703","1,601","2,041",78.2,99.7,"21,375","26,345"
Emergency Med-Family Med,2,4,0,20,28,2,4,50.0,100.0,25,34
Family Medicine,520,"3,356",67,"1,797","6,030","1,513","3,215",45.1,95.8,"18,321","37,806"
Family Med-Preventive Med,3,6,0,24,44,5,6,83.3,100.0,27,47
Internal Medicine (Categorical),467,"7,233",38,"3,837","11,666","3,245","7,101",44.9,98.2,"40,985","81,010"
Medicine-Anesthesiology,3,6,2,17,20,4,4,66.7,66.7,18,21
Medicine-Dermatology,5,6,0,30,33,6,6,100.0,100.0,50,56
Medicine-Emergency Med,11,26,0,63,95,21,26,80.8,100.0,229,294
Medicine-Family Medicine,1,2,0,5,7,2,2,100.0,100.0,5,7
Medicine-Medical Genetics,5,2,1,4,8,1,1,50.0,50.0,6,11
Medicine-Pediatrics,78,381,13,342,507,291,356,76.4,93.4,"3,568","4,191"
Medicine-Preliminary (PGY-1 Only),337,"1,915",32,"3,362","5,585","1,436","1,843",75.0,96.2,"51,147","62,395"
Medicine-Preventive Med,5,8,1,38,109,2,6,25.0,75.0,42,156
Medicine-Primary,65,341,0,713,"1,890",224,341,65.7,100.0,"2,590","4,068"
Medicine-Psychiatry,12,24,0,52,96,15,24,62.5,100.0,172,243
Interventional Radiology (Integrated),17,29,2,191,221,23,27,79.3,93.1,401,446
Neurodevelopmental Disabilities,3,3,0,8,10,3,3,100.0,100.0,16,18
Neurological Surgery,107,218,0,212,311,183,218,83.9,100.0,"3,393","3,901"
Neurology,94,492,8,451,"1,062",249,479,50.6,97.4,"3,010","5,242"
Obstetrics-Gynecology,241,"1,288",0,"1,202","1,753","1,049","1,288",81.4,100.0,"13,779","16,755"
OB/GYN-Preliminary (PGY-1 Only),19,23,8,142,202,6,14,26.1,60.9,272,373
Orthopedic Surgery,165,727,1,845,"1,013",668,726,91.9,99.9,"9,169","9,755"
Otolaryngology,110,305,10,303,331,279,291,91.5,95.4,"3,993","4,149"
Pathology,159,601,33,232,846,216,545,35.9,90.7,"2,379","5,753"
Pediatrics (Categorical),204,"2,738",13,"2,056","3,763","1,849","2,693",67.5,98.4,"22,843","31,730"
Pediatrics-Anesthesiology,7,9,1,24,26,7,8,77.8,88.9,55,57
Pediatrics-Emergency Med,4,10,1,22,35,5,9,50.0,90.0,54,75
Pediatrics-Medical Genetics,16,15,2,15,31,8,13,53.3,86.7,77,117
Pediatrics-P M & R,3,2,0,9,9,2,2,100.0,100.0,15,15
Pediatrics-Preliminary,29,34,5,119,171,23,27,67.6,79.4,401,508
Pediatrics-Primary,13,83,1,358,782,31,82,37.3,98.8,531,"1,039"
Peds/Psych/Child Psych,9,21,0,43,56,19,21,90.5,100.0,177,198
Physical Medicine & Rehab,32,119,1,294,525,74,118,62.2,99.2,"1,190","1,967"
Plastic Surgery (Integrated),73,159,2,200,246,148,157,93.1,98.7,"2,176","2,362"
Preventive Medicine,1,1,0,0,22,0,1,0.0,100.0,0,22
Psychiatry (Categorical),236,"1,495",3,"1,067","2,614",923,"1,491",61.7,99.7,"10,159","16,724"
Psychiatry-Family Medicine,6,10,0,38,47,8,10,80.0,100.0,91,111
Psychiatry-Neurology,4,6,2,13,15,3,3,50.0,50.0,22,25
Radiation Oncology,8,16,0,135,146,16,16,100.0,100.0,223,236
Radiology-Diagnostic,33,121,1,570,851,73,120,60.3,99.2,"1,405","2,043"
Surgery (Categorical),267,"1,281",3,"1,383","2,388","1,005","1,276",78.5,99.6,"14,840","18,323"
Surgery-Preliminary (PGY-1 Only),311,"1,325",149,"1,119","2,158",522,817,39.4,61.7,"4,605","8,009"
Thoracic Surgery,28,37,2,72,105,30,34,81.1,91.9,523,607
Transitional (PGY-1 Only),110,908,12,"2,297","3,155",718,873,79.1,96.1,"17,044","20,204"
Vascular Surgery,51,60,1,70,108,48,59,80.0,98.3,948,"1,064"
Total PGY- 1,"4,269","28,849",445,"27,048","54,110","17,480","27,688",60.6,96.0,"264,383","384,617"
