,,,,No. Applicants*,of,No.,of Matches*,% Filled,,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total
PGY-1 Positions,,,,,,,,,,,
Anesthesiology,142,"1,337",4,"1,270","2,226",907,"1,316",67.8,98.4,"12,778","17,741"
Child Neurology,71,145,12,114,205,102,133,70.3,91.7,"1,208","1,545"
Dermatology,13,30,1,217,265,23,28,76.7,93.3,311,369
Emergency Medicine,238,"2,488",15,"1,823","3,048","1,617","2,458",65.0,98.8,"22,443","31,280"
Emergency Med-Anesthesiology,1,1,0,2,8,0,1,0.0,100.0,2,8
Emergency Med-Family Med,2,4,0,21,38,1,4,25.0,100.0,25,43
Family Medicine,641,"4,107",115,"1,927","6,652","1,601","3,827",39.0,93.2,"20,801","45,408"
Family Medicine-ONMM,1,1,0,0,8,0,1,0.0,100.0,0,8
Family Med-Preventive Med,3,4,0,15,40,3,4,75.0,100.0,16,42
Internal Medicine (Categorical),564,"8,116",60,"3,966","12,527","3,366","7,892",41.5,97.2,"44,355","91,178"
Medicine-Anesthesiology,3,5,1,20,26,4,4,80.0,80.0,24,30
Medicine-Dermatology,5,7,0,29,30,6,7,85.7,100.0,54,55
Medicine-Emergency Med,11,26,0,58,92,20,26,76.9,100.0,263,330
Medicine-Medical Genetics,4,3,2,4,11,1,1,33.3,33.3,4,14
Medicine-Pediatrics,78,390,5,372,591,315,383,80.8,98.2,"3,989","4,759"
Medicine-Preliminary (PGY-1 Only),369,"1,944",60,"3,403","5,636","1,356","1,796",69.8,92.4,"50,859","62,716"
Medicine-Preventive Med,4,6,0,28,104,2,6,33.3,100.0,28,104
Medicine-Primary,79,396,4,766,"2,218",239,386,60.4,97.5,"2,808","4,722"
Medicine-Psychiatry,12,23,0,55,105,18,23,78.3,100.0,171,272
Interventional Radiology (Integrated),21,37,0,212,269,30,37,81.1,100.0,618,711
Neurodevelopmental Disabilities,4,4,0,10,16,3,4,75.0,100.0,21,32
Neurological Surgery,112,232,1,265,341,213,231,91.8,99.6,"3,925","4,207"
Neurology,114,617,13,484,"1,152",284,594,46.0,96.3,"3,769","6,879"
Obstetrics-Gynecology,267,"1,395",2,"1,284","2,026","1,049","1,392",75.2,99.8,"14,433","18,712"
OB/GYN-Preliminary (PGY-1 Only),14,18,6,162,214,4,9,22.2,50.0,265,347
Orthopedic Surgery,175,755,2,830,"1,037",693,752,91.8,99.6,"9,737","10,350"
Osteo Neuromusculoskeletal Med,1,2,1,0,3,0,0,0.0,0.0,0,3
Otolaryngology,120,328,0,398,462,308,328,93.9,100.0,"4,658","4,954"
Pathology,162,601,21,216,924,201,569,33.4,94.7,"2,114","6,071"
Pediatrics (Categorical),220,"2,847",29,"1,901","3,638","1,715","2,778",60.2,97.6,"22,826","33,690"
Pediatrics-Anesthesiology,5,7,0,20,22,6,7,85.7,100.0,51,53
Pediatrics-Emergency Med,4,8,0,24,36,6,8,75.0,100.0,57,80
Pediatrics-Medical Genetics,18,21,4,24,43,14,16,66.7,76.2,132,172
Pediatrics-P M & R,3,4,1,8,13,2,3,50.0,75.0,13,19
Pediatrics-Preliminary,21,24,4,100,153,12,19,50.0,79.2,376,475
Pediatrics-Primary,14,90,1,405,880,36,89,40.0,98.9,629,"1,205"
Peds/Psych/Child Psych,9,21,0,51,65,20,21,95.2,100.0,188,214
Physical Medicine & Rehab,37,138,0,247,538,69,138,50.0,100.0,"1,156","2,072"
Plastic Surgery (Integrated),78,172,0,188,234,158,172,91.9,100.0,"2,314","2,487"
Preventive Medicine,1,1,0,0,20,0,1,0.0,100.0,0,20
Psychiatry,298,"1,740",13,"1,257","2,767","1,054","1,720",60.6,98.9,"12,666","20,430"
Psychiatry-Family Medicine,7,12,0,43,55,12,12,100.0,100.0,132,152
Psychiatry-Neurology,4,4,1,8,14,3,3,75.0,75.0,11,20
Radiation Oncology,6,15,1,115,124,13,14,86.7,93.3,164,174
Radiology-Diagnostic,32,123,1,595,940,73,122,59.3,99.2,"1,418","2,075"
Surgery (Categorical),304,"1,432",0,"1,388","2,563","1,053","1,432",73.5,100.0,"15,873","20,820"
Surgery-Preliminary (PGY-1 Only),253,"1,158",151,939,"1,948",277,581,23.9,50.2,"5,867","8,935"
Thoracic Surgery,28,37,0,80,120,34,37,91.9,100.0,555,675
Transitional (PGY-1 Only),152,"1,252",36,"2,379","3,671",788,"1,101",62.9,87.9,"19,259","25,209"
Vascular Surgery,55,66,2,59,111,52,64,78.8,97.0,885,"1,141"
Total PGY- 1,"4,780","32,194",569,"27,782","58,229","17,763","30,550",55.2,94.9,"284,251","433,008"
