,,,,No. Applicants*,of,No. Matches*,of,% Filled,,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,MD Seniors,Total,MD Seniors,Total,MD Seniors,Total,MD Seniors,Total
PGY- 2 Positions,,,,,,,,,,,
Anesthesiology,57,339,0,"1,030","1,874",211,339,62.2,100.0,"5,520","8,246"
Child Neurology,6,8,2,39,75,1,6,12.5,75.0,48,92
Dermatology,138,477,5,517,734,382,471,80.1,98.7,"4,290","5,188"
Interventional Radiology (Integrated),66,121,3,179,257,97,117,80.2,96.7,"1,762","2,076"
Neurodevelopmental Disabilities,3,4,1,6,13,1,2,25.0,50.0,10,19
Neurology,43,254,1,467,951,167,253,65.7,99.6,"2,463","3,667"
Nuclear Medicine,1,1,1,0,2,0,0,0.0,0.0,0,2
Osteo Neuromusculoskeletal Med,3,7,3,0,12,0,3,0.0,42.9,0,18
Physical Medicine & Rehab,68,327,1,302,680,167,325,51.1,99.4,"2,706","4,910"
Radiation Oncology,84,173,28,104,175,94,138,54.3,79.8,"1,678","2,248"
Radiology-Diagnostic,177,986,5,958,"1,657",670,979,68.0,99.3,"12,181","16,883"
Radiology-Nuclear Med,2,2,0,8,22,1,2,50.0,100.0,9,26
Total PGY-2,648,"2,699",50,"3,610","6,452","1,791","2,635",66.4,97.6,"30,667","43,375"
